Genes	Type
BUB1B	Stemness
BUB3	Stemness
BXDC1	Stemness
BZW1	Stemness
C10orf18	Stemness
C10orf89	Stemness
C11orf23	Stemness
C11orf73	Stemness
C11orf82	Stemness
C12orf11	Stemness
C13orf7	Stemness
C14orf104	Stemness
C14orf106	Stemness
C14orf115	Stemness
C14orf94	Stemness
C15orf15	Stemness
C16orf34	Stemness
C1QBP	Stemness
C1QDC1	Stemness
C1orf108	Stemness
C1orf121	Stemness
C1orf163	Stemness
C1orf38	Stemness
C20orf129	Stemness
C20orf160	Stemness
C20orf6	Stemness
C20orf72	Stemness
C21orf45	Stemness
C2orf29	Stemness
C2orf31	Stemness
C2orf56	Stemness
C6orf115	Stemness
C6orf139	Stemness
C6orf211	Stemness
C6orf66	Stemness
C8orf42	Stemness
C9orf77	Stemness
CA11	Stemness
CABLES1	Stemness
CACHD1	Stemness
CACNA2D3	Stemness
CADPS2	Stemness
CALB1	Stemness
CALU	Stemness
CARHSP1	Stemness
CASP3	Stemness
KIAA0101	Stemness
KIAA0114	Stemness
KIAA0153	Stemness
KIAA0179	Stemness
KIAA0483	Stemness
KIAA0523	Stemness
KIAA0650	Stemness
KIAA0888	Stemness
KIAA0922	Stemness
KIAA1274	Stemness
KIAA1287	Stemness
KIAA1553	Stemness
KIAA1576	Stemness
KIAA1712	Stemness
KIAA1727	Stemness
KIAA1982	Stemness
KIF1A	Stemness
KIF20A	Stemness
KIF23	Stemness
KIF2C	Stemness
KIF4A	Stemness
KIF5C	Stemness
KIFC2	Stemness
KLHL7	Stemness
KLKB1	Stemness
KNTC1	Stemness
KNTC2	Stemness
KPNA2	Stemness
KRR1	Stemness
KRT18	Stemness
KRT8	Stemness
KRTCAP3	Stemness
LAPTM4B	Stemness
LARP7	Stemness
LARS	Stemness
LARS2	Stemness
LCK	Stemness
LDB2	Stemness
LECT1	Stemness
LEFTY1	Stemness
LEFTY2	Stemness
LGALS1	Stemness
LGALS8	Stemness
LGR4	Stemness
LIG1	Stemness
LIN28	Stemness
LINGO1	Stemness
LISCH7	Stemness
LMNB1	Stemness
LMNB2	Stemness
LNK	Stemness
LOC112885	Stemness
LOC134492	Stemness
LOC138255	Stemness
LOC144097	Stemness
LOC157627	Stemness
LOC400451	Stemness
LOC90806	Stemness
LPAAT-e	Stemness
LPHN2	Stemness
LRIG1	Stemness
LRP8	Stemness
LRRN1	Stemness
LSM5	Stemness
LSM6	Stemness
LSM7	Stemness
LUC7L	Stemness
LYAR	Stemness
LYPLA1	Stemness
M6PR	Stemness
MAD2L2	Stemness
MAL2	Stemness
MAN2A1	Stemness
MAP4K1	Stemness
MAP7	Stemness
MARS	Stemness
MARVELD2	Stemness
MARVELD3	Stemness
MASTL	Stemness
MAT2A	Stemness
MAT2B	Stemness
MATK	Stemness
MATR3	Stemness
MBD2	Stemness
MCL1	Stemness
MCM10	Stemness
MCM2	Stemness
MCM3	Stemness
MCM4	Stemness
MCM5	Stemness
MCM6	Stemness
MCM7	Stemness
MDN1	Stemness
MEST	Stemness
METAP1	Stemness
METTL3	Stemness
METTL8	Stemness
MFAP2	Stemness
MFAP3L	Stemness
MFGE8	Stemness
MGC10911	Stemness
MGC10993	Stemness
MGC13096	Stemness
MGC19531	Stemness
MGC24665	Stemness
MGC2574	Stemness
MGC2603	Stemness
MGC3101	Stemness
MGC42530	Stemness
MGC45866	Stemness
MGC72075	Stemness
MGC8407	Stemness
MGC8685	Stemness
MGEA5	Stemness
MGST1	Stemness
MICB	Stemness
MIZ1	Stemness
MKI67IP	Stemness
MLF1IP	Stemness
MLLT10	Stemness
MLSTD1	Stemness
MMP1	Stemness
MMP25	Stemness
MOSC1	Stemness
MRE11A	Stemness
MRPL1	Stemness
MRPL11	Stemness
MRPL12	Stemness
MRPL15	Stemness
MRPL37	Stemness
MRPL42	Stemness
MRPS30	Stemness
MRPS9	Stemness
MRS2L	Stemness
MSH2	Stemness
MSH6	Stemness
MT1F	Stemness
MT1H	Stemness
MT1X	Stemness
MTA3	Stemness
MTB	Stemness
MTF2	Stemness
MTHFD1	Stemness
MTHFD2	Stemness
MTIF2	Stemness
MYB	Stemness
MYBL2	Stemness
MYC	Stemness
MYCN	Stemness
MYEF2	Stemness
MYL7	Stemness
MYO10	Stemness
MYO5C	Stemness
MYOHD1	Stemness
MYRIP	Stemness
MYST2	Stemness
NALP2	Stemness
NANOG	Stemness
NAP1L1	Stemness
NAP1L2	Stemness
NAP1L3	Stemness
NARG1	Stemness
NARG2	Stemness
NASP	Stemness
NBR2	Stemness
NCL	Stemness
NCOA6IP	Stemness
NCRMS	Stemness
NDUFA4	Stemness
NEFL	Stemness
NFE2L3	Stemness
NFYB	Stemness
NIPBL	Stemness
NIPSNAP1	Stemness
NLGN4X	Stemness
NLGN4Y	Stemness
NLN	Stemness
NME1	Stemness
NME2	Stemness
NMU	Stemness
NOC3L	Stemness
NODAL	Stemness
NOL5A	Stemness
NOLA3	Stemness
NOLC1	Stemness
NOVA1	Stemness
NP	Stemness
NPM1	Stemness
NPM3	Stemness
NPTX2	Stemness
NR6A1	Stemness
NSD1	Stemness
NTHL1	Stemness
NTS	Stemness
NUBP1	Stemness
NUCKS1	Stemness
NUDT1	Stemness
NUDT15	Stemness
NUDT5	Stemness
NUFIP1	Stemness
NUP107	Stemness
NUP160	Stemness
NUP205	Stemness
NUP35	Stemness
NUP37	Stemness
NUP54	Stemness
NUP62	Stemness
NUP88	Stemness
NUSAP1	Stemness
OAZ2	Stemness
OAZIN	Stemness
OCLN	Stemness
OIP5	Stemness
OLFM1	Stemness
ORC1L	Stemness
IL17RD	Stemness
ILF3	Stemness
IMP-1	Stemness
IMP-2	Stemness
IMPA1	Stemness
IMPA2	Stemness
IMPDH2	Stemness
INDO	Stemness
IPO7	Stemness
IPO9	Stemness
IQGAP2	Stemness
IRX2	Stemness
ITGA6	Stemness
ITGB1BP3	Stemness
ITGB5	Stemness
ITPR3	Stemness
ITSN1	Stemness
JARID2	Stemness
PCNT1	Stemness
PDCD2	Stemness
PDE6G	Stemness
PDE9A	Stemness
PDK1	Stemness
PDPN	Stemness
PDZK4	Stemness
PFAS	Stemness
PFDN4	Stemness
GAJ	Stemness
GAL	Stemness
GALNT1	Stemness
GALNT12	Stemness
GAP43	Stemness
GARNL4	Stemness
GART	Stemness
GCLC	Stemness
GCSH	Stemness
GDF3	Stemness
GEMIN4	Stemness
GFPT2	Stemness
GJA1	Stemness
GJA7	Stemness
GLDC	Stemness
GLI2	Stemness
GLMN	Stemness
GLS2	Stemness
GMFB	Stemness
GMNN	Stemness
GNAL	Stemness
GNG4	Stemness
GNL2	Stemness
GNL3	Stemness
GNPTAB	Stemness
GPC4	Stemness
GPM6B	Stemness
GPR	Stemness
GPR160	Stemness
GPR19	Stemness
GPR23	Stemness
GPR64	Stemness
GPRC5B	Stemness
GRB14	Stemness
GRB7	Stemness
GRPR	Stemness
GRTP1	Stemness
GSG2	Stemness
GTF2E1	Stemness
GULP1	Stemness
GYG2	Stemness
GYLTL1B	Stemness
H2AFX	Stemness
HA-1	Stemness
HAS3	Stemness
HDAC2	Stemness
HELLS	Stemness
HESX1	Stemness
HEY2	Stemness
HIP1	Stemness
HIST1H2BG	Stemness
HIST1H4K	Stemness
HLTF	Stemness
HMBS	Stemness
HMGA1	Stemness
HMGB2	Stemness
HMGB3	Stemness
HMGN2	Stemness
HMMR	Stemness
HNRNPA1	Stemness
HNRNPL	Stemness
HNRPAB	Stemness
HNRPU	Stemness
HOMER1	Stemness
HOOK1	Stemness
HPCL2	Stemness
HPRP8BP	Stemness
HPS3	Stemness
HRASLS3	Stemness
HRMT1L3	Stemness
HSD11B2	Stemness
HSD17B4	Stemness
HSP90B1	Stemness
HSPA14	Stemness
HSPA4	Stemness
HSPA8	Stemness
RAB3B	Stemness
RABGAP1L	Stemness
RAD51	Stemness
RAD51AP1	Stemness
RAD54B	Stemness
RAM2	Stemness
RAMP	Stemness
RANBP5	Stemness
RARRES2	Stemness
RASL11B	Stemness
RBBP6	Stemness
RBBP8	Stemness
RBM13	Stemness
RBM14	Stemness
RBM28	Stemness
RBM39	Stemness
RBPMS2	Stemness
RBPSUH	Stemness
TAF4B	Stemness
TAF9L	Stemness
TARS	Stemness
TCEA1	Stemness
TCF7L1	Stemness
TD-60	Stemness
TDGF1	Stemness
TEAD4	Stemness
TEBP	Stemness
TERF1	Stemness
TFAM	Stemness
TFAP2C	Stemness
TFRC	Stemness
TGIF	Stemness
THOC1	Stemness
THRAP6	Stemness
THY1	Stemness
THY28	Stemness
JMJD1C	Stemness
JMY	Stemness
KAL1	Stemness
KCNK5	Stemness
KCNN2	Stemness
KCNQ2	Stemness
KCNS3	Stemness
KCTD14	Stemness
KIAA0007	Stemness
KIAA0020	Stemness
RPS2	Stemness
RPS24	Stemness
RRAS2	Stemness
RRM1	Stemness
RRM2	Stemness
RRS1	Stemness
RUVBL1	Stemness
SACS	Stemness
SALL1	Stemness
SALL2	Stemness
SALL3	Stemness
SALL4	Stemness
SCG3	Stemness
SCGB3A2	Stemness
SCLY	Stemness
SCNN1A	Stemness
SEC22C	Stemness
SEC5L1	Stemness
SEMA3A	Stemness
SEMA4C	Stemness
SEMA5B	Stemness
SEMA6A	Stemness
SENP3	Stemness
SEPHS1	Stemness
SERPINB9	Stemness
SERPINH1	Stemness
SET	Stemness
SF3A1	Stemness
SFRP1	Stemness
SFRP2	Stemness
SFRS1	Stemness
SFRS11	Stemness
SFRS18	Stemness
SFRS7	Stemness
SIAT1	Stemness
SIL	Stemness
SILV	Stemness
SIP	Stemness
SIRT1	Stemness
SKIL	Stemness
SKP2	Stemness
SLC13A3	Stemness
SLC16A1	Stemness
SLC1A5	Stemness
SLC25A29	Stemness
SLC29A1	Stemness
SLC29A2	Stemness
SLC2A3	Stemness
SLC38A1	Stemness
SLC39A10	Stemness
SLC3A2	Stemness
SLC4A11	Stemness
SLC5A6	Stemness
SLC6A8	Stemness
SLC7A3	Stemness
SLC7A8	Stemness
SLD5	Stemness
SMARCA5	Stemness
SMC2L1	Stemness
SMC6L1	Stemness
SMS	Stemness
SNRPA	Stemness
SNRPA1	Stemness
SNRPD2	Stemness
SNRPD3	Stemness
SNRPF	Stemness
SNRPN	Stemness
SNTB1	Stemness
SORD	Stemness
SORL1	Stemness
SOX11	Stemness
SOX2	Stemness
SOX3	Stemness
SPAG5	Stemness
SPRY1	Stemness
SPRY4	Stemness
SRP72	Stemness
SRRM1	Stemness
SS18L2	Stemness
SSB	Stemness
SSBP1	Stemness
STC1	Stemness
STRBP	Stemness
SUPT16H	Stemness
SWAP70	Stemness
SYNCOILIN	Stemness
SYNGR3	Stemness
SYT6	Stemness
Spc25	Stemness
TA-LRRP	Stemness
TA-PP2C	Stemness
TACC3	Stemness
TACSTD1	Stemness
CYP26A1	Stemness
RECQL	Stemness
REPRIMO	Stemness
RET	Stemness
RFC2	Stemness
RFC3	Stemness
RFC4	Stemness
RFC5	Stemness
RGMA	Stemness
RGS17	Stemness
RIF1	Stemness
RMI1	Stemness
RNASEH2A	Stemness
RNF12	Stemness
RNF125	Stemness
RNF138	Stemness
RNF41	Stemness
RNMT	Stemness
TIA1	Stemness
TIMP4	Stemness
TIPIN	Stemness
TK1	Stemness
TKT	Stemness
TMEFF1	Stemness
TMPO	Stemness
TMSL8	Stemness
TNFRSF8	Stemness
TNNI3	Stemness
TNNT1	Stemness
TNPO1	Stemness
TNPO3	Stemness
TNRC9	Stemness
TOMM40	Stemness
TOP2A	Stemness
TPD52	Stemness
TPM1	Stemness
TPM3	Stemness
TPT	Stemness
TPX2	Stemness
PIPOX	Stemness
PITPNC1	Stemness
PITX2	Stemness
PKD2	Stemness
PKP4	Stemness
PLA2G3	Stemness
PLCB3	Stemness
PLCL2	Stemness
PLK4	Stemness
PLP1	Stemness
PLS1	Stemness
PLS3	Stemness
PMAIP1	Stemness
PNMT	Stemness
PNN	Stemness
PODXL	Stemness
POLA	Stemness
POLD1	Stemness
POLE2	Stemness
POLR1B	Stemness
POLR2D	Stemness
POLR3G	Stemness
POLR3K	Stemness
POU2F1	Stemness
POU5F1	Stemness
PPAP2A	Stemness
PPAP2C	Stemness
PPAT	Stemness
PPM1B	Stemness
PPP1CC	Stemness
PPP1R16B	Stemness
PPP1R1A	Stemness
PPP2R1B	Stemness
PPP2R2B	Stemness
PRDM14	Stemness
PRDX1	Stemness
PRDX2	Stemness
PRIM1	Stemness
PRIM2A	Stemness
PRKAA2	Stemness
PRKCB1	Stemness
PRKCI	Stemness
PRKCQ	Stemness
PRKDC	Stemness
PRKX	Stemness
PRODH	Stemness
PROM1	Stemness
PRPS1	Stemness
PRR6	Stemness
PSIP1	Stemness
PSMA2	Stemness
PSMA3	Stemness
PSME3	Stemness
PTBP1	Stemness
PTK7	Stemness
PTPN2	Stemness
PTPRG	Stemness
PTPRZ1	Stemness
PTTG1	Stemness
PUNC	Stemness
PUS1	Stemness
PVRL3	Stemness
PWP2H	Stemness
PYCR2	Stemness
Pfs2	Stemness
CRMP1	Stemness
CROP	Stemness
CRSP2	Stemness
CRYM	Stemness
CSE1L	Stemness
CSRP2	Stemness
CST1	Stemness
CTBP2	Stemness
CTCF	Stemness
CTH	Stemness
CTPS2	Stemness
CTSC	Stemness
CTSL2	Stemness
CXADR	Stemness
CXCL12	Stemness
CXXC6	Stemness
CXorf15	Stemness
CHST8	Stemness
CYP2S1	Stemness
DARS2	Stemness
DBC1	Stemness
DCAMKL1	Stemness
DCC1	Stemness
DCP2	Stemness
DDX18	Stemness
DDX21	Stemness
DDX25	Stemness
DDX46	Stemness
DEK	Stemness
DEPDC1B	Stemness
DHFR	Stemness
DHFRL1	Stemness
DHX29	Stemness
DHX9	Stemness
DIAPH2	Stemness
RNU3IP2	Stemness
ROBO1	Stemness
ROR1	Stemness
RPA3	Stemness
RPL12	Stemness
RPL24	Stemness
RPL39L	Stemness
RPL4	Stemness
RPL6	Stemness
RPL7	Stemness
PFN1	Stemness
PGK1	Stemness
PGM1	Stemness
PHF17	Stemness
PHIP	Stemness
PIF1	Stemness
PIG8	Stemness
PIGW	Stemness
PIK3CB	Stemness
PIM1	Stemness
PIM2	Stemness
CHST7	Stemness
CNTNAP2	Stemness
CIB2	Stemness
CISD1	Stemness
CKAP2	Stemness
CKAP5	Stemness
CKMT1	Stemness
CKS1B	Stemness
CKS2	Stemness
CLDN10	Stemness
CLDN6	Stemness
CLDN7	Stemness
CLIC4	Stemness
CNOT7	Stemness
CENPH	Stemness
COBL	Stemness
COCH	Stemness
COL18A1	Stemness
COQ3	Stemness
COX6A1	Stemness
CPSF5	Stemness
CRABP1	Stemness
CRABP2	Stemness
CECR6	Stemness
CENPA	Stemness
CENPE	Stemness
CENPF	Stemness
CGI-48	Stemness
CER1	Stemness
CGI-115	Stemness
CGI-30	Stemness
CHEK1	Stemness
CHAF1A	Stemness
CHAF1B	Stemness
CHD1	Stemness
CHST4	Stemness
CHEK2	Stemness
CHGA	Stemness
CHORDC1	Stemness
DIDO1	Stemness
RPLP0	Stemness
RPS19	Stemness
CRKL	Stemness
CRLF1	Stemness
DKC1	Stemness
DKFZP586L0724	Stemness
KRT8	Stemness
ACTC	Stemness
KPNA2	Stemness
KRT18	Stemness
LIN28	Stemness
LAPTM4B	Stemness
NANOG	Stemness
NASP	Stemness
NBR2	Stemness
NME2	Stemness
NPM1	Stemness
LDHB	Stemness
LEFTY1	Stemness
PODXL	Stemness
LRRN1	Stemness
MAD2L2	Stemness
MGST1	Stemness
MTHFD1	Stemness
MTHFD2	Stemness
GDF3	Stemness
GJA1	Stemness
GNL3	Stemness
GSH1	Stemness
HDAC2	Stemness
PHF17	Stemness
PITX2	Stemness
HMGA1	Stemness
HMGB2	Stemness
HNRPAB	Stemness
HSPA4	Stemness
IDH1	Stemness
IFITM1	Stemness
IMP2	Stemness
IMPDH2	Stemness
KIF4A	Stemness
SMS	Stemness
SNRPF	Stemness
ARL8	Stemness
AURKB	Stemness
BRIX	Stemness
C15orf15	Stemness
C20orf129	Stemness
CACHD1	Stemness
CALU	Stemness
CCNB1	Stemness
CCNC	Stemness
CCT8	Stemness
CDC2	Stemness
CRABP1	Stemness
CRABP2	Stemness
CYP26A1	Stemness
DDX21	Stemness
DSG2	Stemness
EIF4A1	Stemness
POU5F1	Stemness
PPAT	Stemness
PSIP1	Stemness
FABP5	Stemness
GAL	Stemness
PSMA3	Stemness
PTTG1	Stemness
RAMP	Stemness
RPL24	Stemness
RPL4	Stemness
RPL6	Stemness
RPL7	Stemness
RPLP0	Stemness
RPS24	Stemness
SEMA6A	Stemness
SEPHS1	Stemness
SERPINH1	Stemness
SET	Stemness
SFRP2	Stemness
SFRS7	Stemness
SLC16A1	Stemness
TDGF1	Stemness
TK1	Stemness
SSB	Stemness
TD-60	Stemness
TUBB	Stemness
TUBB4	Stemness
TNNT1	Stemness
TPX2	Stemness
ZNF43	Stemness
ELOVL6	Stemness
ZNF117	Stemness
ZNF257	Stemness
EPRS	Stemness
PSMA2	Stemness
MALL	Senescence
MAP2K7	Senescence
HNRPU	Senescence
HMCN2	Senescence
HMOX2	Senescence
HNRNPD	Senescence
ICA1	Senescence
HS3ST3B1	Senescence
HSPB7	Senescence
IBSP	Senescence
LOC389257	Senescence
LOC391405	Senescence
LOC400451	Senescence
LOC400604	Senescence
LOC400743	Senescence
LPAR2	Senescence
LPAR5	Senescence
LPPR2	Senescence
LRRC33	Senescence
LTA4H	Senescence
LVRN	Senescence
LY6D	Senescence
MAGEB4	Senescence
MAGEB5	Senescence
MAGEH1	Senescence
MAGT1	Senescence
GYS1	Senescence
H1FX	Senescence
HADHA	Senescence
HCFC1	Senescence
HDX	Senescence
HELZ	Senescence
HEMK1	Senescence
HES6	Senescence
HINT1	Senescence
HIST1H3B	Senescence
HIST1H4G	Senescence
HIST1H4K	Senescence
HIVEP3	Senescence
LMO1	Senescence
LOC150759	Senescence
LOC151658	Senescence
LOC154092	Senescence
LOC220906	Senescence
LOC283440	Senescence
LOC283951	Senescence
LOC284402	Senescence
ICT1	Senescence
IGFBP6	Senescence
LOC386597	Senescence
LOC388780	Senescence
RIN1	Senescence
RNF216	Senescence
RNF40	Senescence
RPESP	Senescence
RRAS	Senescence
RUFY4	Senescence
SAMD7	Senescence
SCGB1A1	Senescence
SENP6	Senescence
SERPINB10	Senescence
SERPINB2	Senescence
SERTAD2	Senescence
SETD1B	Senescence
SF3A1	Senescence
SF3A3	Senescence
SFPQ	Senescence
SFXN3	Senescence
SH3BP4	Senescence
MAP3K1	Senescence
MASP1	Senescence
MBOAT1	Senescence
MBTD1	Senescence
MCRS1	Senescence
MED12	Senescence
MED13	Senescence
MED13L	Senescence
MED17	Senescence
MED19	Senescence
MED24	Senescence
MED28	Senescence
MGC10981	Senescence
MGC33407	Senescence
MGC39821	Senescence
MIRHG1	Senescence
MMP15	Senescence
MMP24	Senescence
LOC284551	Senescence
LOC340515	Senescence
GC	Senescence
GFER	Senescence
GJA8	Senescence
GJB1	Senescence
GK5	Senescence
GLO1	Senescence
GLRB	Senescence
GLTSCR1	Senescence
GLUD1	Senescence
CCDC33	Senescence
CCDC60	Senescence
CCDC74A	Senescence
CCDC74B	Senescence
CCL2	Senescence
CCNK	Senescence
CCT7	Senescence
CD34	Senescence
CD59	Senescence
CDC37L1	Senescence
CDC42	Senescence
CDH18	Senescence
CDH19	Senescence
CDH23	Senescence
CDX2	Senescence
CENPA	Senescence
CERCAM	Senescence
CGGBP1	Senescence
CHCHD10	Senescence
CHRDL1	Senescence
CHRNE	Senescence
CHST1	Senescence
CLASP1	Senescence
CLCN1	Senescence
CLPP	Senescence
CLRN3	Senescence
CLTA	Senescence
CLTB	Senescence
CNOT1	Senescence
COL11A1	Senescence
COL4A4	Senescence
COPS2	Senescence
IL1F10	Senescence
IMPAD1	Senescence
IMPG2	Senescence
INCA1	Senescence
INO80E	Senescence
ISL1	Senescence
ITPKA	Senescence
ITSN2	Senescence
JARID1C	Senescence
JMJD2B	Senescence
KCTD18	Senescence
KEAP1	Senescence
KIAA0195	Senescence
KIAA1853	Senescence
KIF19	Senescence
KIF7	Senescence
KIR3DL1	Senescence
KIRREL2	Senescence
KLC3	Senescence
KLK5	Senescence
KLRG1	Senescence
KLRG2	Senescence
KPNA5	Senescence
KREMEN1	Senescence
KRT39	Senescence
KRTAP22-1	Senescence
LARS	Senescence
LCE1E	Senescence
LDB2	Senescence
LIF	Senescence
ADAMTS1	Senescence
ADAMTSL1	Senescence
ADFP	Senescence
ADIPOR1	Senescence
ADRBK1	Senescence
AGPS	Senescence
AHCTF1	Senescence
AIPL1	Senescence
ALDH1L2	Senescence
ALDH5A1	Senescence
ALKBH8	Senescence
ANGPT4	Senescence
ANGPTL6	Senescence
ANKRD1	Senescence
ANKRD31	Senescence
ANXA4	Senescence
APC	Senescence
APLF	Senescence
APLP2	Senescence
ARFIP2	Senescence
ARID4B	Senescence
ARL4C	Senescence
ARL5C	Senescence
ARS2	Senescence
ASAP1	Senescence
ASTN2	Senescence
ATOH8	Senescence
ATP1A3	Senescence
BAIAP2L1	Senescence
BAT4	Senescence
BCL6B	Senescence
BDP1	Senescence
BEST1	Senescence
BLM	Senescence
C10orf26	Senescence
C10orf40	Senescence
C12orf68	Senescence
C13orf35	Senescence
C15orf29	Senescence
C16orf13	Senescence
C16orf81	Senescence
C17orf74	Senescence
C19orf24	Senescence
C19orf68	Senescence
C1orf106	Senescence
C1orf157	Senescence
C20orf95	Senescence
C21orf128	Senescence
C22orf15	Senescence
MOCS1	Senescence
MR1	Senescence
MRPL51	Senescence
MS4A2	Senescence
MS4A6E	Senescence
MVP	Senescence
MYBPC2	Senescence
MYBPHL	Senescence
MYO6	Senescence
NALCN	Senescence
GPR119	Senescence
GPR172B	Senescence
GPS1	Senescence
GSPT1	Senescence
GSTP1	Senescence
GSTT2	Senescence
GTF2H3	Senescence
GUCY1A3	Senescence
GUSB	Senescence
GYPC	Senescence
TCL1A	Senescence
TCP1	Senescence
TFDP2	Senescence
TFPT	Senescence
TIFA	Senescence
TIGD3	Senescence
TMED3	Senescence
TMEM14B	Senescence
TMEM14C	Senescence
TMEM204	Senescence
TOB2	Senescence
TPD52L1	Senescence
TPM1	Senescence
TPR	Senescence
TRAIP	Senescence
TRAM2	Senescence
TRPA1	Senescence
TRYX3	Senescence
TSPAN4	Senescence
TTC23L	Senescence
TTC39B	Senescence
TTC4	Senescence
TUBB4	Senescence
UBE2V1	Senescence
UBR5	Senescence
UBXN8	Senescence
UFSP1	Senescence
ULK2	Senescence
UPP2	Senescence
VARS	Senescence
VWF	Senescence
WAC	Senescence
WBP2	Senescence
WDR53	Senescence
WDR5B	Senescence
WDR82	Senescence
XRCC1	Senescence
YAP1	Senescence
YIPF7	Senescence
YY1	Senescence
ZC3H18	Senescence
ZDHHC15	Senescence
ZDHHC20	Senescence
ZFP36	Senescence
ZFP64	Senescence
ZIC4	Senescence
ZNF136	Senescence
ZNF138	Senescence
ZNF197	Senescence
ZNF35	Senescence
ZNF354A	Senescence
ZNF43	Senescence
ZNF434	Senescence
ZNF513	Senescence
ZNF546	Senescence
ZNF711	Senescence
ZNF786	Senescence
ZNHIT3	Senescence
ZSCAN10	Senescence
EFCAB4A	Senescence
EIF2B1	Senescence
EIF2B2	Senescence
EIF2B3	Senescence
EIF2B4	Senescence
EIF2S2	Senescence
EMP3	Senescence
EMX1	Senescence
ENPP7	Senescence
ENTPD1	Senescence
EP300	Senescence
ETF1	Senescence
ETFDH	Senescence
EYA3	Senescence
FAM114A1	Senescence
FAM118B	Senescence
FAM120B	Senescence
FAM127B	Senescence
FAM169B	Senescence
FAM19A1	Senescence
FAM45A	Senescence
FAM82A1	Senescence
FBXL6	Senescence
FBXW2	Senescence
FGL1	Senescence
FIBIN	Senescence
FIG4	Senescence
FLJ10404	Senescence
FLJ22447	Senescence
FLJ41047	Senescence
FLJ44450	Senescence
FLJ44881	Senescence
FLJ45244	Senescence
FOXJ3	Senescence
FTL	Senescence
FTSJ1	Senescence
FUBP1	Senescence
FXYD3	Senescence
FXYD7	Senescence
GAB3	Senescence
GABRP	Senescence
GAD2	Senescence
C2orf69	Senescence
C6orf139	Senescence
C6orf163	Senescence
C6orf195	Senescence
CA9	Senescence
CAMP	Senescence
CAPN2	Senescence
CASC1	Senescence
CASP2	Senescence
CCDC103	Senescence
CCDC130	Senescence
TADA2B	Senescence
TAF12	Senescence
TAF2	Senescence
TAF7	Senescence
TALDO1	Senescence
TAS2R45	Senescence
TAX1BP1	Senescence
TBC1D10A	Senescence
TCEAL1	Senescence
NHLRC1	Senescence
NMUR2	Senescence
NPEPL1	Senescence
NRSN1	Senescence
NT5DC1	Senescence
NUDT8	Senescence
NUP107	Senescence
NXF1	Senescence
ODF2	Senescence
ODF3L1	Senescence
OLFM1	Senescence
OMD	Senescence
OPN1SW	Senescence
OR1D2	Senescence
OR2H1	Senescence
OR5K4	Senescence
OR7D4	Senescence
OXA1L	Senescence
P2RX2	Senescence
P2RY11	Senescence
P2RY12	Senescence
PARP3	Senescence
PCDHA1	Senescence
PCF11	Senescence
PDE2A	Senescence
PDZD11	Senescence
PHB	Senescence
PHB2	Senescence
PIM2	Senescence
PITX1	Senescence
PITX3	Senescence
PKLR	Senescence
PKP1	Senescence
PLCL1	Senescence
PLS3	Senescence
PNPO	Senescence
PODNL1	Senescence
POLH	Senescence
POLR2E	Senescence
POU5F1	Senescence
PPAPDC2	Senescence
PPOX	Senescence
PPP1R15B	Senescence
PPP2R3A	Senescence
PRDM13	Senescence
PRDM14	Senescence
PRDM9	Senescence
PRDX3	Senescence
PRDX6	Senescence
PRELP	Senescence
PRG3	Senescence
PROP1	Senescence
PSMD2	Senescence
PSPH	Senescence
PSTPIP2	Senescence
PXN	Senescence
RAD17	Senescence
RAD9B	Senescence
RALGDS	Senescence
RAP1GAP	Senescence
RASEF	Senescence
RBBP6	Senescence
RBM10	Senescence
RBM17	Senescence
REXO1	Senescence
RHOA	Senescence
RICTOR	Senescence
SUV39H2	Senescence
SVIL	Senescence
SYF2	Senescence
SYNCRIP	Senescence
SYTL4	Senescence
NBEAL1	Senescence
NBPF15	Senescence
NCBP1	Senescence
NDUFA4L2	Senescence
NDUFV1	Senescence
NELL2	Senescence
NEUROD2	Senescence
NFKB1	Senescence
NFRKB	Senescence
CXorf59	Senescence
CYBA	Senescence
CYP11B2	Senescence
CYP21A2	Senescence
SHFM1	Senescence
SLC16A3	Senescence
SLC17A9	Senescence
SLC25A23	Senescence
SLC25A42	Senescence
SLC2A12	Senescence
SLC2A9	Senescence
SLC46A3	Senescence
SMCR5	Senescence
SMPD1	Senescence
SMU1	Senescence
SNAP23	Senescence
SOAT2	Senescence
SON	Senescence
SORDL	Senescence
SOX14	Senescence
GALNTL4	Senescence
GBE1	Senescence
GBP2	Senescence
STK10	Senescence
STK4	Senescence
SUB1	Senescence
CORT	Senescence
COX6A2	Senescence
CPSF3	Senescence
CPT2	Senescence
CREBL2	Senescence
CRKRS	Senescence
CRLF1	Senescence
CROP	Senescence
CRSP2	Senescence
CSTB	Senescence
CTDP1	Senescence
CTNNA3	Senescence
CTNNBIP1	Senescence
CTSE	Senescence
DNAJC10	Senescence
AADACL2	Senescence
ABCG8	Senescence
ABP1	Senescence
DARS	Senescence
DBX2	Senescence
DCTN2	Senescence
DDIT3	Senescence
DEFB126	Senescence
DERL2	Senescence
DFFA	Senescence
DLGAP1	Senescence
DNAH8	Senescence
ACTR6	Senescence
DOC2A	Senescence
DRG2	Senescence
E4F1	Senescence
ECE2	Senescence
ECHDC1	Senescence
EDF1	Senescence
ACBD3	Senescence
SPI1	Senescence
SPINK7	Senescence
SRSF3	Senescence
ACTL6B	Senescence
COPS4	Senescence
ACPL2	Senescence
