Genes	Type
VASH2	Stemness
VAV2	Stemness
VCAN	Stemness
VPS25	Stemness
WBP1	Stemness
WDHD1	Stemness
WDR72	Stemness
WDR9	Stemness
SLC6A6	Stemness
SLCO1A2	Stemness
SMS	Stemness
SNHG16	Stemness
SNORD22	Stemness
SNRPB	Stemness
SNRPF	Stemness
SNRPN	Stemness
SNX24	Stemness
SNX27	Stemness
SOCS1	Stemness
SORL1	Stemness
SOX13	Stemness
SOX2	Stemness
SOX4	Stemness
SPINT1	Stemness
SPINT2	Stemness
SPON1	Stemness
SPRY2	Stemness
TPM1	Stemness
TRAF4	Stemness
TRNP1	Stemness
TSPAN33	Stemness
TSPAN6	Stemness
TSR2	Stemness
TTC19	Stemness
TUBB2	Stemness
UBE2C	Stemness
DSP	Stemness
DUSP16	Stemness
E2F5	Stemness
EDIL3	Stemness
EFNA2	Stemness
EFR3B	Stemness
EHD3	Stemness
EIF1	Stemness
EIF2S3	Stemness
EIF3S12	Stemness
EIF4EBP1	Stemness
ENO2	Stemness
EPB41	Stemness
EPHA1	Stemness
ERBB2	Stemness
ERBB3	Stemness
ERRFI1	Stemness
ETV1	Stemness
YWHAG	Stemness
ZBTB39	Stemness
ZD52F10	Stemness
ZDHHC18	Stemness
ZDHHC5	Stemness
ZFP82	Stemness
ZFR2	Stemness
ZIC2	Stemness
ZIK1	Stemness
ZMYM3	Stemness
ZMYND8	Stemness
ZNF217	Stemness
ZNF232	Stemness
ZNF281	Stemness
FAXC	Stemness
FBXL10	Stemness
FBXO2	Stemness
FCER1G	Stemness
FGF12	Stemness
FGF18	Stemness
FGF2	Stemness
FGFR1	Stemness
FGFR2	Stemness
FGFR3	Stemness
FGFR4	Stemness
FKBP4	Stemness
PFKFB4	Stemness
PFN1	Stemness
PGD	Stemness
PGM5	Stemness
PHB	Stemness
PHB2	Stemness
PHF17	Stemness
PIF1	Stemness
PIM1	Stemness
PIN4	Stemness
PIPOX	Stemness
PKD1-like	Stemness
PKIB	Stemness
PLCXD1	Stemness
PLD2	Stemness
PLN	Stemness
PLS3	Stemness
PMAIP1	Stemness
PNPLA4	Stemness
POLR2H	Stemness
POLR3G	Stemness
POLR3K	Stemness
POP7	Stemness
POSTN	Stemness
POU5F1	Stemness
PPAT	Stemness
PPIA	Stemness
PPIH	Stemness
PPM1H	Stemness
PPP1R1A	Stemness
PPP2R1B	Stemness
PPT2	Stemness
PRDX1	Stemness
STC2	Stemness
STK17A	Stemness
STK26	Stemness
STK35	Stemness
SUV420H1	Stemness
SYT6	Stemness
TAC3	Stemness
TACSTD1	Stemness
TALDO1	Stemness
TBC1D16	Stemness
TBCD	Stemness
TCEA1	Stemness
TCF7L1	Stemness
TD-60	Stemness
TDG	Stemness
TEAD2	Stemness
TEAD4	Stemness
TERF1	Stemness
TFAP2C	Stemness
TGFB2	Stemness
TGIF2	Stemness
THOP1	Stemness
THY1	Stemness
